ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1979,309,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1979,2289,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Agriculture,1979,1880.3,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Total,1979,21696.4,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Agriculture,1979,1880.3,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Total,1979,21696.4,,,,Population coverage: Including armed forces and/or conscripts
Ireland,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1979,222,,,,Data reference period: April | Population coverage: Excluding armed forces and/or conscripts
Ireland,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1979,908,,Nonstandard economic activity: Excluding agriculture,,Data reference period: April | Population coverage: Excluding armed forces and/or conscripts
Ireland,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1979,222,,,,Data reference period: April | Population coverage: Excluding armed forces and/or conscripts
Ireland,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1979,908,,Nonstandard economic activity: Excluding agriculture,,Data reference period: April | Population coverage: Excluding armed forces and/or conscripts
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1979,2989,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1979,20406,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1979,2989,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1979,20406,,,,Age coverage - minimum age: 14 years old
Netherlands,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1979,281,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 14 years old
Netherlands,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1979,4939,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 14 years old
Netherlands,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1979,281,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 14 years old
Netherlands,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1979,4939,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 14 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Agriculture,1979,1179,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Total,1979,3906,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Agriculture,1979,1179,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Total,1979,3906,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Agriculture,1979,2378.6,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Total,1979,11911.6,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Agriculture,1979,2378.6,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Total,1979,11911.6,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1979,242,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1979,4180,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1979,242,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1979,4180,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1979,666,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1979,25393,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1979,666,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1979,25393,,,,Data reference period: June | Age coverage - minimum age: 16 years old
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Agriculture,1980,115.6,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Total,1980,3700.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Agriculture,1980,115.6,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Total,1980,3700.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1980,1062.7,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1980,4363.9,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1980,1062.7,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1980,4363.9,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Agriculture,1980,36.9,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Total,1980,192.5,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Agriculture,1980,36.9,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Total,1980,192.5,,,,Population coverage: Excluding armed forces and/or conscripts
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1980,314,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1980,2359,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1980,314,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1980,2359,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Agriculture,1980,1821.3,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Total,1980,21747.3,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Agriculture,1980,1821.3,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Total,1980,21747.3,,,,Population coverage: Including armed forces and/or conscripts
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1980,1112.5,,,,Data reference period: Noncalendar year | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1980,5044.1,,,,Data reference period: Noncalendar year | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1980,1112.5,,,,Data reference period: Noncalendar year | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1980,5044.1,,,,Data reference period: Noncalendar year | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1980,2899,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1980,20674,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1980,2899,,,,Age coverage - minimum age: 14 years old
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1980,20674,,,,Age coverage - minimum age: 14 years old
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1980,244,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1980,4970,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1980,244,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1980,4970,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Agriculture,1980,1082,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Total,1980,3961,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Agriculture,1980,1082,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Total,1980,3961,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Agriculture,1980,2226.7,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Total,1980,11557.1,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Agriculture,1980,2226.7,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Total,1980,11557.1,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1980,237,,,,Data reference period: Incomplete year | Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1980,4232,,,,Data reference period: Incomplete year | Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1980,237,,,,Data reference period: Incomplete year | Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1980,4232,,,,Data reference period: Incomplete year | Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1980,654,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1980,25327,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1980,654,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1980,25327,,,,Data reference period: June | Age coverage - minimum age: 16 years old
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Agriculture,1981,112.8,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Total,1981,3631.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Agriculture,1981,112.8,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Total,1981,3631.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1981,1046.8,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1981,4417.5,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1981,1046.8,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1981,4417.5,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Agriculture,1981,37.1,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Total,1981,198.3,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Agriculture,1981,37.1,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Total,1981,198.3,,,,Population coverage: Excluding armed forces and/or conscripts
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1981,174.3,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1981,2368.7,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1981,174.3,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1981,2368.7,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1981,305,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1981,2385,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1981,305,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1981,2385,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Agriculture,1981,1753.7,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Aggregate): Total,1981,21644.2,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Agriculture,1981,1753.7,,,,Population coverage: Including armed forces and/or conscripts
France,Employment by sex and economic activity (thousands),LFS - Enquête Emploi,Sex: Total,Economic activity (Broad sector): Total,1981,21644.2,,,,Population coverage: Including armed forces and/or conscripts
Greece,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1981,1083.5,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts
Greece,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1981,3531,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts
Greece,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1981,1083.5,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts
Greece,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1981,3531,,,,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1981,1119.7,,,Break in series: Other or unspecified type of break,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1981,5256,,,Break in series: Other or unspecified type of break,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1981,1119.7,,,Break in series: Other or unspecified type of break,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1981,5256,,,Break in series: Other or unspecified type of break,
Italy,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1981,2732,,,,Age coverage - minimum age: 14 years old
